fips,date,RR,state,code
40,2020-01-24,0.0,Oklahoma,OK
35,2020-01-24,0.0,New Mexico,NM
41,2020-01-24,0.0,Oregon,OR
49,2020-01-24,0.0,Utah,UT
39,2020-01-24,0.0,Ohio,OH
45,2020-01-24,0.0,South Carolina,SC
56,2020-01-24,0.0,Wyoming,WY
55,2020-01-24,0.0,Wisconsin,WI
54,2020-01-24,0.0,West Virginia,WV
53,2020-01-24,3.741282051282051,Washington,WA
30,2020-01-24,0.0,Montana,MT
50,2020-01-24,0.0,Vermont,VT
48,2020-01-24,0.0,Texas,TX
47,2020-01-24,0.0,Tennessee,TN
46,2020-01-24,0.0,South Dakota,SD
51,2020-01-24,0.0,Virginia,VA
29,2020-01-25,0.0,Missouri,MO
1,2020-01-25,0.0,Alabama,AL
4,2020-01-25,0.0,Arizona,AZ
5,2020-01-25,0.0,Arkansas,AR
6,2020-01-25,0.0,California,CA
8,2020-01-25,0.0,Colorado,CO
10,2020-01-25,0.0,Delaware,DE
11,2020-01-25,0.0,District Of Columbia,DC
12,2020-01-25,0.0,Florida,FL
13,2020-01-25,0.0,Georgia,GA
16,2020-01-25,0.0,Idaho,ID
18,2020-01-25,0.0,Indiana,IN
17,2020-01-25,0.5985294117647059,Illinois,IL
26,2020-01-25,0.0,Michigan,MI
22,2020-01-25,0.0,Louisiana,LA
24,2020-01-25,0.0,Maryland,MD
23,2020-01-25,0.0,Maine,ME
27,2020-01-25,0.0,Minnesota,MN
21,2020-01-25,0.0,Kentucky,KY
20,2020-01-25,0.0,Kansas,KS
19,2020-01-25,0.0,Iowa,IA
28,2020-01-25,0.0,Mississippi,MS
9,2020-01-25,0.0,Connecticut,CT
25,2020-01-25,0.0,Massachusetts,MA
30,2020-01-25,0.0,Montana,MT
44,2020-01-25,0.0,Rhode Island,RI
48,2020-01-25,0.0,Texas,TX
32,2020-01-25,0.0,Nevada,NV
33,2020-01-25,0.0,New Hampshire,NH
34,2020-01-25,0.0,New Jersey,NJ
35,2020-01-25,0.0,New Mexico,NM
36,2020-01-25,0.0,New York,NY
38,2020-01-25,0.0,North Dakota,ND
39,2020-01-25,0.0,Ohio,OH
40,2020-01-25,0.0,Oklahoma,OK
41,2020-01-25,0.0,Oregon,OR
42,2020-01-25,0.0,Pennsylvania,PA
37,2020-01-25,0.0,North Carolina,NC
46,2020-01-25,0.0,South Dakota,SD
45,2020-01-25,0.0,South Carolina,SC
55,2020-01-25,0.0,Wisconsin,WI
54,2020-01-25,0.0,West Virginia,WV
53,2020-01-25,3.741282051282051,Washington,WA
51,2020-01-25,0.0,Virginia,VA
31,2020-01-25,0.0,Nebraska,NE
49,2020-01-25,0.0,Utah,UT
56,2020-01-25,0.0,Wyoming,WY
47,2020-01-25,0.0,Tennessee,TN
50,2020-01-25,0.0,Vermont,VT
30,2020-01-26,0.0,Montana,MT
5,2020-01-26,0.0,Arkansas,AR
6,2020-01-26,0.5681034482758621,California,CA
8,2020-01-26,0.0,Colorado,CO
9,2020-01-26,0.0,Connecticut,CT
10,2020-01-26,0.0,Delaware,DE
11,2020-01-26,0.0,District Of Columbia,DC
12,2020-01-26,0.0,Florida,FL
13,2020-01-26,0.0,Georgia,GA
16,2020-01-26,0.0,Idaho,ID
1,2020-01-26,0.0,Alabama,AL
4,2020-01-26,1.2253333333333332,Arizona,AZ
20,2020-01-26,0.0,Kansas,KS
21,2020-01-26,0.0,Kentucky,KY
22,2020-01-26,0.0,Louisiana,LA
23,2020-01-26,0.0,Maine,ME
24,2020-01-26,0.0,Maryland,MD
25,2020-01-26,0.0,Massachusetts,MA
26,2020-01-26,0.0,Michigan,MI
27,2020-01-26,0.0,Minnesota,MN
28,2020-01-26,0.0,Mississippi,MS
18,2020-01-26,0.0,Indiana,IN
19,2020-01-26,0.0,Iowa,IA
29,2020-01-26,0.0,Missouri,MO
32,2020-01-26,0.0,Nevada,NV
31,2020-01-26,0.0,Nebraska,NE
33,2020-01-26,0.0,New Hampshire,NH
34,2020-01-26,0.0,New Jersey,NJ
35,2020-01-26,0.0,New Mexico,NM
36,2020-01-26,0.0,New York,NY
37,2020-01-26,0.0,North Carolina,NC
38,2020-01-26,0.0,North Dakota,ND
39,2020-01-26,0.0,Ohio,OH
40,2020-01-26,0.0,Oklahoma,OK
41,2020-01-26,0.0,Oregon,OR
44,2020-01-26,0.0,Rhode Island,RI
17,2020-01-26,0.1496078431372549,Illinois,IL
42,2020-01-26,0.0,Pennsylvania,PA
47,2020-01-26,0.0,Tennessee,TN
48,2020-01-26,0.0,Texas,TX
49,2020-01-26,0.0,Utah,UT
50,2020-01-26,0.0,Vermont,VT
51,2020-01-26,0.0,Virginia,VA
53,2020-01-26,0.9353846153846151,Washington,WA
54,2020-01-26,0.0,West Virginia,WV
55,2020-01-26,0.0,Wisconsin,WI
56,2020-01-26,0.0,Wyoming,WY
45,2020-01-26,0.0,South Carolina,SC
46,2020-01-26,0.0,South Dakota,SD
12,2020-01-27,0.0,Florida,FL
11,2020-01-27,0.0,District Of Columbia,DC
10,2020-01-27,0.0,Delaware,DE
9,2020-01-27,0.0,Connecticut,CT
1,2020-01-27,0.0,Alabama,AL
6,2020-01-27,0.5681034482758621,California,CA
5,2020-01-27,0.0,Arkansas,AR
4,2020-01-27,1.2253333333333332,Arizona,AZ
13,2020-01-27,0.0,Georgia,GA
8,2020-01-27,0.0,Colorado,CO
16,2020-01-27,0.0,Idaho,ID
21,2020-01-27,0.0,Kentucky,KY
18,2020-01-27,0.0,Indiana,IN
19,2020-01-27,0.0,Iowa,IA
20,2020-01-27,0.0,Kansas,KS
22,2020-01-27,0.0,Louisiana,LA
23,2020-01-27,0.0,Maine,ME
24,2020-01-27,0.0,Maryland,MD
25,2020-01-27,0.0,Massachusetts,MA
26,2020-01-27,0.0,Michigan,MI
27,2020-01-27,0.0,Minnesota,MN
28,2020-01-27,0.0,Mississippi,MS
29,2020-01-27,0.0,Missouri,MO
56,2020-01-27,0.0,Wyoming,WY
17,2020-01-27,0.1496078431372549,Illinois,IL
44,2020-01-27,0.0,Rhode Island,RI
40,2020-01-27,0.0,Oklahoma,OK
39,2020-01-27,0.0,Ohio,OH
38,2020-01-27,0.0,North Dakota,ND
37,2020-01-27,0.0,North Carolina,NC
32,2020-01-27,0.0,Nevada,NV
35,2020-01-27,0.0,New Mexico,NM
34,2020-01-27,0.0,New Jersey,NJ
33,2020-01-27,0.0,New Hampshire,NH
41,2020-01-27,0.0,Oregon,OR
36,2020-01-27,0.0,New York,NY
42,2020-01-27,0.0,Pennsylvania,PA
30,2020-01-27,0.0,Montana,MT
45,2020-01-27,0.0,South Carolina,SC
46,2020-01-27,0.0,South Dakota,SD
47,2020-01-27,0.0,Tennessee,TN
49,2020-01-27,0.0,Utah,UT
50,2020-01-27,0.0,Vermont,VT
51,2020-01-27,0.0,Virginia,VA
53,2020-01-27,0.9353846153846151,Washington,WA
54,2020-01-27,0.0,West Virginia,WV
55,2020-01-27,0.0,Wisconsin,WI
31,2020-01-27,0.0,Nebraska,NE
48,2020-01-27,0.0,Texas,TX
12,2020-01-28,0.0,Florida,FL
11,2020-01-28,0.0,District Of Columbia,DC
10,2020-01-28,0.0,Delaware,DE
8,2020-01-28,0.0,Colorado,CO
29,2020-01-28,0.0,Missouri,MO
5,2020-01-28,0.0,Arkansas,AR
4,2020-01-28,1.2253333333333332,Arizona,AZ
1,2020-01-28,0.0,Alabama,AL
13,2020-01-28,0.0,Georgia,GA
6,2020-01-28,0.5681034482758621,California,CA
16,2020-01-28,0.0,Idaho,ID
25,2020-01-28,0.0,Massachusetts,MA
18,2020-01-28,0.0,Indiana,IN
17,2020-01-28,0.1496078431372549,Illinois,IL
26,2020-01-28,0.0,Michigan,MI
24,2020-01-28,0.0,Maryland,MD
23,2020-01-28,0.0,Maine,ME
27,2020-01-28,0.0,Minnesota,MN
21,2020-01-28,0.0,Kentucky,KY
20,2020-01-28,0.0,Kansas,KS
19,2020-01-28,0.0,Iowa,IA
28,2020-01-28,0.0,Mississippi,MS
9,2020-01-28,0.0,Connecticut,CT
22,2020-01-28,0.0,Louisiana,LA
30,2020-01-28,0.0,Montana,MT
44,2020-01-28,0.0,Rhode Island,RI
56,2020-01-28,0.0,Wyoming,WY
40,2020-01-28,0.0,Oklahoma,OK
39,2020-01-28,0.0,Ohio,OH
38,2020-01-28,0.0,North Dakota,ND
37,2020-01-28,0.0,North Carolina,NC
32,2020-01-28,0.0,Nevada,NV
34,2020-01-28,0.0,New Jersey,NJ
33,2020-01-28,0.0,New Hampshire,NH
41,2020-01-28,0.0,Oregon,OR
36,2020-01-28,0.0,New York,NY
42,2020-01-28,0.0,Pennsylvania,PA
35,2020-01-28,0.0,New Mexico,NM
45,2020-01-28,0.0,South Carolina,SC
48,2020-01-28,0.0,Texas,TX
55,2020-01-28,0.0,Wisconsin,WI
54,2020-01-28,0.0,West Virginia,WV
53,2020-01-28,0.9353846153846151,Washington,WA
51,2020-01-28,0.0,Virginia,VA
31,2020-01-28,0.0,Nebraska,NE
49,2020-01-28,0.0,Utah,UT
47,2020-01-28,0.0,Tennessee,TN
46,2020-01-28,0.0,South Dakota,SD
50,2020-01-28,0.0,Vermont,VT
16,2020-01-29,0.0,Idaho,ID
4,2020-01-29,1.2253333333333332,Arizona,AZ
5,2020-01-29,0.0,Arkansas,AR
6,2020-01-29,0.5681034482758621,California,CA
8,2020-01-29,0.0,Colorado,CO
9,2020-01-29,0.0,Connecticut,CT
10,2020-01-29,0.0,Delaware,DE
11,2020-01-29,0.0,District Of Columbia,DC
12,2020-01-29,0.0,Florida,FL
13,2020-01-29,0.0,Georgia,GA
1,2020-01-29,0.0,Alabama,AL
28,2020-01-29,0.0,Mississippi,MS
19,2020-01-29,0.0,Iowa,IA
20,2020-01-29,0.0,Kansas,KS
21,2020-01-29,0.0,Kentucky,KY
22,2020-01-29,0.0,Louisiana,LA
23,2020-01-29,0.0,Maine,ME
24,2020-01-29,0.0,Maryland,MD
25,2020-01-29,0.0,Massachusetts,MA
26,2020-01-29,0.0,Michigan,MI
27,2020-01-29,0.0,Minnesota,MN
29,2020-01-29,0.0,Missouri,MO
18,2020-01-29,0.0,Indiana,IN
42,2020-01-29,0.0,Pennsylvania,PA
17,2020-01-29,0.1496078431372549,Illinois,IL
45,2020-01-29,0.0,South Carolina,SC
32,2020-01-29,0.0,Nevada,NV
33,2020-01-29,0.0,New Hampshire,NH
34,2020-01-29,0.0,New Jersey,NJ
35,2020-01-29,0.0,New Mexico,NM
36,2020-01-29,0.0,New York,NY
37,2020-01-29,0.0,North Carolina,NC
38,2020-01-29,0.0,North Dakota,ND
39,2020-01-29,0.0,Ohio,OH
40,2020-01-29,0.0,Oklahoma,OK
44,2020-01-29,0.0,Rhode Island,RI
31,2020-01-29,0.0,Nebraska,NE
41,2020-01-29,0.0,Oregon,OR
46,2020-01-29,0.0,South Dakota,SD
47,2020-01-29,0.0,Tennessee,TN
48,2020-01-29,0.0,Texas,TX
49,2020-01-29,0.0,Utah,UT
50,2020-01-29,0.0,Vermont,VT
51,2020-01-29,0.0,Virginia,VA
53,2020-01-29,0.9353846153846151,Washington,WA
54,2020-01-29,0.0,West Virginia,WV
55,2020-01-29,0.0,Wisconsin,WI
56,2020-01-29,0.0,Wyoming,WY
30,2020-01-29,0.0,Montana,MT
12,2020-01-30,0.0,Florida,FL
11,2020-01-30,0.0,District Of Columbia,DC
10,2020-01-30,0.0,Delaware,DE
9,2020-01-30,0.0,Connecticut,CT
1,2020-01-30,0.0,Alabama,AL
6,2020-01-30,0.5681034482758621,California,CA
5,2020-01-30,0.0,Arkansas,AR
4,2020-01-30,1.2253333333333332,Arizona,AZ
13,2020-01-30,0.0,Georgia,GA
8,2020-01-30,0.0,Colorado,CO
16,2020-01-30,0.0,Idaho,ID
21,2020-01-30,0.0,Kentucky,KY
18,2020-01-30,0.0,Indiana,IN
19,2020-01-30,0.0,Iowa,IA
20,2020-01-30,0.0,Kansas,KS
22,2020-01-30,0.0,Louisiana,LA
23,2020-01-30,0.0,Maine,ME
24,2020-01-30,0.0,Maryland,MD
25,2020-01-30,0.0,Massachusetts,MA
26,2020-01-30,0.0,Michigan,MI
27,2020-01-30,0.0,Minnesota,MN
28,2020-01-30,0.0,Mississippi,MS
29,2020-01-30,0.0,Missouri,MO
56,2020-01-30,0.0,Wyoming,WY
17,2020-01-30,0.1496078431372549,Illinois,IL
44,2020-01-30,0.0,Rhode Island,RI
40,2020-01-30,0.0,Oklahoma,OK
39,2020-01-30,0.0,Ohio,OH
38,2020-01-30,0.0,North Dakota,ND
37,2020-01-30,0.0,North Carolina,NC
32,2020-01-30,0.0,Nevada,NV
35,2020-01-30,0.0,New Mexico,NM
34,2020-01-30,0.0,New Jersey,NJ
33,2020-01-30,0.0,New Hampshire,NH
41,2020-01-30,0.0,Oregon,OR
36,2020-01-30,0.0,New York,NY
42,2020-01-30,0.0,Pennsylvania,PA
30,2020-01-30,0.0,Montana,MT
45,2020-01-30,0.0,South Carolina,SC
46,2020-01-30,0.0,South Dakota,SD
47,2020-01-30,0.0,Tennessee,TN
49,2020-01-30,0.0,Utah,UT
50,2020-01-30,0.0,Vermont,VT
51,2020-01-30,0.0,Virginia,VA
53,2020-01-30,0.9353846153846151,Washington,WA
54,2020-01-30,0.0,West Virginia,WV
55,2020-01-30,0.0,Wisconsin,WI
31,2020-01-30,0.0,Nebraska,NE
48,2020-01-30,0.0,Texas,TX
12,2020-01-31,0.0,Florida,FL
11,2020-01-31,0.0,District Of Columbia,DC
10,2020-01-31,0.0,Delaware,DE
8,2020-01-31,0.0,Colorado,CO
29,2020-01-31,0.0,Missouri,MO
5,2020-01-31,0.0,Arkansas,AR
4,2020-01-31,1.2253333333333332,Arizona,AZ
1,2020-01-31,0.0,Alabama,AL
13,2020-01-31,0.0,Georgia,GA
6,2020-01-31,0.5681034482758621,California,CA
16,2020-01-31,0.0,Idaho,ID
25,2020-01-31,0.0,Massachusetts,MA
18,2020-01-31,0.0,Indiana,IN
17,2020-01-31,0.1496078431372549,Illinois,IL
26,2020-01-31,0.0,Michigan,MI
24,2020-01-31,0.0,Maryland,MD
23,2020-01-31,0.0,Maine,ME
27,2020-01-31,0.0,Minnesota,MN
21,2020-01-31,0.0,Kentucky,KY
20,2020-01-31,0.0,Kansas,KS
19,2020-01-31,0.0,Iowa,IA
28,2020-01-31,0.0,Mississippi,MS
9,2020-01-31,0.0,Connecticut,CT
22,2020-01-31,0.0,Louisiana,LA
30,2020-01-31,0.0,Montana,MT
44,2020-01-31,0.0,Rhode Island,RI
56,2020-01-31,0.0,Wyoming,WY
40,2020-01-31,0.0,Oklahoma,OK
39,2020-01-31,0.0,Ohio,OH
38,2020-01-31,0.0,North Dakota,ND
37,2020-01-31,0.0,North Carolina,NC
32,2020-01-31,0.0,Nevada,NV
34,2020-01-31,0.0,New Jersey,NJ
33,2020-01-31,0.0,New Hampshire,NH
41,2020-01-31,0.0,Oregon,OR
36,2020-01-31,0.0,New York,NY
42,2020-01-31,0.0,Pennsylvania,PA
35,2020-01-31,0.0,New Mexico,NM
45,2020-01-31,0.0,South Carolina,SC
48,2020-01-31,0.0,Texas,TX
55,2020-01-31,0.0,Wisconsin,WI
54,2020-01-31,0.0,West Virginia,WV
53,2020-01-31,0.9353846153846151,Washington,WA
51,2020-01-31,0.0,Virginia,VA
31,2020-01-31,0.0,Nebraska,NE
49,2020-01-31,0.0,Utah,UT
47,2020-01-31,0.0,Tennessee,TN
46,2020-01-31,0.0,South Dakota,SD
50,2020-01-31,0.0,Vermont,VT
13,2020-02-01,0.0,Georgia,GA
1,2020-02-01,0.0,Alabama,AL
4,2020-02-01,1.2253333333333332,Arizona,AZ
5,2020-02-01,0.0,Arkansas,AR
6,2020-02-01,0.5681034482758621,California,CA
8,2020-02-01,0.0,Colorado,CO
9,2020-02-01,0.0,Connecticut,CT
10,2020-02-01,0.0,Delaware,DE
11,2020-02-01,0.0,District Of Columbia,DC
12,2020-02-01,0.0,Florida,FL
16,2020-02-01,0.0,Idaho,ID
28,2020-02-01,0.0,Mississippi,MS
18,2020-02-01,0.0,Indiana,IN
19,2020-02-01,0.0,Iowa,IA
20,2020-02-01,0.0,Kansas,KS
21,2020-02-01,0.0,Kentucky,KY
22,2020-02-01,0.0,Louisiana,LA
23,2020-02-01,0.0,Maine,ME
24,2020-02-01,0.0,Maryland,MD
25,2020-02-01,0.0,Massachusetts,MA
26,2020-02-01,0.0,Michigan,MI
27,2020-02-01,0.0,Minnesota,MN
29,2020-02-01,0.0,Missouri,MO
56,2020-02-01,0.0,Wyoming,WY
17,2020-02-01,0.1496078431372549,Illinois,IL
44,2020-02-01,0.0,Rhode Island,RI
41,2020-02-01,0.0,Oregon,OR
32,2020-02-01,0.0,Nevada,NV
33,2020-02-01,0.0,New Hampshire,NH
34,2020-02-01,0.0,New Jersey,NJ
35,2020-02-01,0.0,New Mexico,NM
36,2020-02-01,0.0,New York,NY
37,2020-02-01,0.0,North Carolina,NC
38,2020-02-01,0.0,North Dakota,ND
39,2020-02-01,0.0,Ohio,OH
40,2020-02-01,0.0,Oklahoma,OK
42,2020-02-01,0.0,Pennsylvania,PA
30,2020-02-01,0.0,Montana,MT
45,2020-02-01,0.0,South Carolina,SC
46,2020-02-01,0.0,South Dakota,SD
47,2020-02-01,0.0,Tennessee,TN
48,2020-02-01,0.0,Texas,TX
49,2020-02-01,0.0,Utah,UT
50,2020-02-01,0.0,Vermont,VT
51,2020-02-01,0.0,Virginia,VA
53,2020-02-01,0.9353846153846151,Washington,WA
54,2020-02-01,0.0,West Virginia,WV
55,2020-02-01,0.0,Wisconsin,WI
31,2020-02-01,0.0,Nebraska,NE
16,2020-02-02,0.0,Idaho,ID
13,2020-02-02,0.0,Georgia,GA
12,2020-02-02,0.0,Florida,FL
11,2020-02-02,0.0,District Of Columbia,DC
4,2020-02-02,1.2253333333333332,Arizona,AZ
6,2020-02-02,0.5681034482758621,California,CA
5,2020-02-02,0.0,Arkansas,AR
10,2020-02-02,0.0,Delaware,DE
9,2020-02-02,0.0,Connecticut,CT
18,2020-02-02,0.0,Indiana,IN
24,2020-02-02,0.0,Maryland,MD
27,2020-02-02,0.0,Minnesota,MN
26,2020-02-02,0.0,Michigan,MI
25,2020-02-02,0.0,Massachusetts,MA
1,2020-02-02,0.0,Alabama,AL
28,2020-02-02,0.0,Mississippi,MS
22,2020-02-02,0.0,Louisiana,LA
21,2020-02-02,0.0,Kentucky,KY
20,2020-02-02,0.0,Kansas,KS
19,2020-02-02,0.0,Iowa,IA
23,2020-02-02,0.0,Maine,ME
17,2020-02-02,0.1496078431372549,Illinois,IL
29,2020-02-02,0.0,Missouri,MO
8,2020-02-02,0.0,Colorado,CO
30,2020-02-02,0.0,Montana,MT
36,2020-02-02,0.0,New York,NY
41,2020-02-02,0.0,Oregon,OR
40,2020-02-02,0.0,Oklahoma,OK
39,2020-02-02,0.0,Ohio,OH
38,2020-02-02,0.0,North Dakota,ND
33,2020-02-02,0.0,New Hampshire,NH
35,2020-02-02,0.0,New Mexico,NM
42,2020-02-02,0.0,Pennsylvania,PA
37,2020-02-02,0.0,North Carolina,NC
44,2020-02-02,0.0,Rhode Island,RI
49,2020-02-02,0.0,Utah,UT
34,2020-02-02,0.0,New Jersey,NJ
47,2020-02-02,0.0,Tennessee,TN
46,2020-02-02,0.0,South Dakota,SD
45,2020-02-02,0.0,South Carolina,SC
56,2020-02-02,0.0,Wyoming,WY
55,2020-02-02,0.0,Wisconsin,WI
54,2020-02-02,0.0,West Virginia,WV
31,2020-02-02,0.0,Nebraska,NE
51,2020-02-02,0.0,Virginia,VA
50,2020-02-02,0.0,Vermont,VT
32,2020-02-02,0.0,Nevada,NV
48,2020-02-02,0.0,Texas,TX
53,2020-02-02,0.9353846153846151,Washington,WA
13,2020-02-03,0.0,Georgia,GA
1,2020-02-03,0.0,Alabama,AL
4,2020-02-03,1.2253333333333332,Arizona,AZ
5,2020-02-03,0.0,Arkansas,AR
6,2020-02-03,0.5681034482758621,California,CA
8,2020-02-03,0.0,Colorado,CO
9,2020-02-03,0.0,Connecticut,CT
10,2020-02-03,0.0,Delaware,DE
11,2020-02-03,0.0,District Of Columbia,DC
12,2020-02-03,0.0,Florida,FL
16,2020-02-03,0.0,Idaho,ID
28,2020-02-03,0.0,Mississippi,MS
18,2020-02-03,0.0,Indiana,IN
19,2020-02-03,0.0,Iowa,IA
20,2020-02-03,0.0,Kansas,KS
21,2020-02-03,0.0,Kentucky,KY
22,2020-02-03,0.0,Louisiana,LA
23,2020-02-03,0.0,Maine,ME
24,2020-02-03,0.0,Maryland,MD
25,2020-02-03,0.0,Massachusetts,MA
26,2020-02-03,0.0,Michigan,MI
27,2020-02-03,0.0,Minnesota,MN
29,2020-02-03,0.0,Missouri,MO
17,2020-02-03,0.1496078431372549,Illinois,IL
30,2020-02-03,0.0,Montana,MT
44,2020-02-03,0.0,Rhode Island,RI
41,2020-02-03,0.0,Oregon,OR
32,2020-02-03,0.0,Nevada,NV
33,2020-02-03,0.0,New Hampshire,NH
34,2020-02-03,0.0,New Jersey,NJ
35,2020-02-03,0.0,New Mexico,NM
36,2020-02-03,0.0,New York,NY
37,2020-02-03,0.0,North Carolina,NC
38,2020-02-03,0.0,North Dakota,ND
39,2020-02-03,0.0,Ohio,OH
40,2020-02-03,0.0,Oklahoma,OK
42,2020-02-03,0.0,Pennsylvania,PA
56,2020-02-03,0.0,Wyoming,WY
45,2020-02-03,0.0,South Carolina,SC
46,2020-02-03,0.0,South Dakota,SD
47,2020-02-03,0.0,Tennessee,TN
48,2020-02-03,0.0,Texas,TX
49,2020-02-03,0.0,Utah,UT
50,2020-02-03,0.0,Vermont,VT
51,2020-02-03,0.0,Virginia,VA
53,2020-02-03,0.9353846153846151,Washington,WA
54,2020-02-03,0.0,West Virginia,WV
55,2020-02-03,0.0,Wisconsin,WI
31,2020-02-03,0.0,Nebraska,NE
12,2020-02-04,0.0,Florida,FL
11,2020-02-04,0.0,District Of Columbia,DC
10,2020-02-04,0.0,Delaware,DE
8,2020-02-04,0.0,Colorado,CO
29,2020-02-04,0.0,Missouri,MO
5,2020-02-04,0.0,Arkansas,AR
4,2020-02-04,1.2253333333333332,Arizona,AZ
1,2020-02-04,0.0,Alabama,AL
13,2020-02-04,0.0,Georgia,GA
6,2020-02-04,0.5681034482758621,California,CA
16,2020-02-04,0.0,Idaho,ID
25,2020-02-04,0.0,Massachusetts,MA
18,2020-02-04,0.0,Indiana,IN
17,2020-02-04,0.1496078431372549,Illinois,IL
26,2020-02-04,0.0,Michigan,MI
24,2020-02-04,0.0,Maryland,MD
23,2020-02-04,0.0,Maine,ME
27,2020-02-04,0.0,Minnesota,MN
21,2020-02-04,0.0,Kentucky,KY
20,2020-02-04,0.0,Kansas,KS
19,2020-02-04,0.0,Iowa,IA
28,2020-02-04,0.0,Mississippi,MS
9,2020-02-04,0.0,Connecticut,CT
22,2020-02-04,0.0,Louisiana,LA
30,2020-02-04,0.0,Montana,MT
44,2020-02-04,0.0,Rhode Island,RI
56,2020-02-04,0.0,Wyoming,WY
40,2020-02-04,0.0,Oklahoma,OK
39,2020-02-04,0.0,Ohio,OH
38,2020-02-04,0.0,North Dakota,ND
37,2020-02-04,0.0,North Carolina,NC
32,2020-02-04,0.0,Nevada,NV
34,2020-02-04,0.0,New Jersey,NJ
33,2020-02-04,0.0,New Hampshire,NH
41,2020-02-04,0.0,Oregon,OR
36,2020-02-04,0.0,New York,NY
42,2020-02-04,0.0,Pennsylvania,PA
35,2020-02-04,0.0,New Mexico,NM
45,2020-02-04,0.0,South Carolina,SC
48,2020-02-04,0.0,Texas,TX
55,2020-02-04,0.0,Wisconsin,WI
54,2020-02-04,0.0,West Virginia,WV
53,2020-02-04,0.9353846153846151,Washington,WA
51,2020-02-04,0.0,Virginia,VA
31,2020-02-04,0.0,Nebraska,NE
49,2020-02-04,0.0,Utah,UT
47,2020-02-04,0.0,Tennessee,TN
46,2020-02-04,0.0,South Dakota,SD
50,2020-02-04,0.0,Vermont,VT
13,2020-02-05,0.0,Georgia,GA
1,2020-02-05,0.0,Alabama,AL
4,2020-02-05,1.2253333333333332,Arizona,AZ
